geography,CCAA,wave,period,age_group_scheme,ego_age_group,alter_age_group,ego_population_size,ego_sample_size_LFS,ego_sample_size_DCS,reciprocity,cores_LFS,cores_DCS,noncores_DCS,all_LFS_DCS,all_DCS_DCS
ccaa,Comunitat Valenciana,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,613416.87,14545,767,weighted,0.2932571287124855,0.28895586029541276,1.364441487890576,1.6576986166030614,1.6533973481859887
ccaa,Extremadura,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,129537.98,14545,767,none,0.2522510386529109,0.22283054417695036,1.002154060229417,1.2544050988823279,1.2249846044063673
ccaa,Extremadura,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,129537.98,14545,767,unweighted,0.2522510386529109,0.3467845535595247,1.527228128952164,1.779479167605075,1.8740126825116887
ccaa,Extremadura,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,129537.98,14545,767,weighted,0.25225103865291093,0.296772002655851,1.3153729923494821,1.567624031002393,1.612144995005333
ccaa,Galicia,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,308758.14,14545,767,none,0.4395721194589396,0.21917090960023597,1.084944447910657,1.5245165673695964,1.3041153575108928
ccaa,Galicia,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,308758.14,14545,767,unweighted,0.4395721194589396,0.39906858497690684,1.9023670071859364,2.341939126644876,2.3014355921628433
ccaa,Galicia,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,308758.14,14545,767,weighted,0.4395721194589396,0.3264840700262098,1.5725560752185088,2.0121281946774485,1.8990401452447188
ccaa,"Madrid, Comunidad de",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,897315.75,14545,767,none,0.2791467329086779,0.22943471236289356,1.0177291061331342,1.296875839041812,1.2471638184960276
ccaa,"Madrid, Comunidad de",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,897315.75,14545,767,unweighted,0.2791467329086779,0.2952446827598772,1.352819690885173,1.631966423793851,1.6480643736450502
ccaa,"Madrid, Comunidad de",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,897315.75,14545,767,weighted,0.2791467329086779,0.2686918950699689,1.217618457696107,1.496765190604785,1.486310352766076
